"track_id","duration_ms","name","popularity","acousticness","danceability","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","id"
"0kilwMEtrwd58885j8JhCa",149105,"With you",32,0.499,0.518,0.574,0.00231,3,0.12,-8.612,1,0.198,83.756,4,0.521,1
"0xt2rfiv6qpGYzypG0MziP",278124,"Window",36,0.748,0.349,0.573,0.00203,1,0.48,-9.47,1,0.12,173.829,4,0.423,1
"1ePNcYIPo9CuW5kKZYlh2K",195839,"Part of me",32,0.443,0.811,0.553,0,4,0.307,-5.68,0,0.296,89.95,4,0.687,1
"1m53YN2bXakCpC6MUWWP48",245642,"no name",33,0.88,0.423,0.296,0.0182,6,0.0822,-12.631,1,0.0447,84.495,4,0.114,1
"1Ya8UT49Oc3oASVcsDqz60",182751,"Ace",47,0.865,0.688,0.509,0,10,0.12,-9.177,1,0.402,106.865,4,0.652,1
"2VhgIVAahu3OGdmZcSplIT",219028,"Don't Forget about me",39,0.433,0.736,0.468,0.131,1,0.0885,-6.115,1,0.238,75.555,4,0.7,1
"5rNqaOOSNGrYtMo4sLDXU6",94932,"Self",51,0.84,0.807,0.539,0.000839,3,0.142,-6.52,1,0.251,92.121,4,0.811,1
"5sihlm7PTrHsZgIjk6JlrT",168362,"Regal",33,0.819,0.41,0.482,0.26,1,0.122,-11.741,1,0.0976,169.484,4,0.491,1
"6P4rFlDdTy8N0JiQPXStKX",257898,"Prayer Song",32,0.68,0.79,0.561,1.03e-05,9,0.0858,-8.813,0,0.157,112.403,4,0.508,1
"6QNaeyzCJBOS1R8N5GskR7",163616,"Montego Bae",41,0.787,0.587,0.552,0.171,5,0.0824,-10.872,0,0.0851,151.578,4,0.691,1
"7npEyXswEtXndjHXQs081U",133056,"Blaxploitation",37,0.09,0.89,0.829,2.01e-06,11,0.202,-6.145,1,0.35,100.985,4,0.866,1
"0V4I0Ezc6o8b4PH6nItRBA",496626,"Contretemps",20,0.000212,0.23,0.794,0.617,7,0.0817,-6.103,1,0.0489,149.913,4,0.0372,2
"0yPUUj3VjEwSZsracgDBRW",239280,"Balancing the Dark",23,0.000159,0.192,0.958,0.878,0,0.229,-4.668,0,0.162,159.892,3,0.039,2
"2J7dMy5b95Uysor1du4RZi",448040,"The Hollow Hour",26,0.000134,0.233,0.931,0.682,4,0.0895,-5.474,0,0.0714,99.751,3,0.0513,2
"3u46Ufmrmc7OHU1TzZmjjZ",500000,"A Flood of Light",29,0.00864,0.442,0.553,0.382,2,0.107,-7.049,0,0.0602,123.036,4,0.031,2
"4p0Tq3GqiYI0GVpGtvEjco",190880,"Alma Mater",24,4.17e-05,0.251,0.951,0.55,2,0.274,-4.375,1,0.153,84.952,5,0.185,2
"5FR1en9cE5Vk05z8QF77PG",224706,"Towards Dawn",26,0.92,0.261,0.113,0.953,3,0.085,-20.3,1,0.047,71.525,4,0.0371,2
"5PSVcvaURNJE7X3zE1zWTH",310373,"Whispers Among Us",20,0.000111,0.239,0.926,0.793,4,0.0854,-4.696,0,0.0593,110.41,3,0.0438,2
"60qzUWBoLLARs9B82yD346",232493,"Aftermath",37,0.00185,0.404,0.839,0.2,8,0.257,-4.926,1,0.045,159.986,4,0.205,2
"69HBrkyRwpq5wBXv3hG3hb",337000,"Risen",18,0.226,0.187,0.0677,0.000306,7,0.0922,-16.343,1,0.0363,93.372,4,0.0554,2
"72pvZmc6CZIs2TER67E0CQ",204759,"Rituals",31,6.35e-05,0.273,0.988,0.337,1,0.136,-4.242,0,0.281,170.204,4,0.0386,2
"1rMGbnh7zWGs8ME0mbuVai",219773,"Mortal After All",46,0.000263,0.443,0.991,0.00162,11,0.153,-4.103,0,0.126,77.024,4,0.251,3
"2Mgw95kCwTc90H167xVHqu",248666,"Damnation",42,9.65e-05,0.391,0.978,0.000787,1,0.123,-4.414,1,0.101,175.002,4,0.363,3
"3Ekoo27CSzaWShdM43niUp",230840,"Dying To Heal",42,4.92e-05,0.512,0.979,0.000313,10,0.0794,-4.173,0,0.0777,94.993,4,0.249,3
"3VGheGbJrEnGvwteXNBDNt",255586,"Hereafter",55,4.58e-05,0.513,0.973,0.00326,6,0.224,-4.115,0,0.0849,121.018,4,0.159,3
"50xyeJL2Hs9FDgtI1ROeB0",241586,"Royal Beggars",53,0.000269,0.376,0.87,0.000373,11,0.128,-4.566,0,0.0578,178.111,4,0.132,3
"6jaJVPLZOME4TtgW1Es5NT",253440,"Modern Misery",46,0.000363,0.533,0.971,0.000216,8,0.15,-4.483,0,0.0755,115.978,4,0.344,3
"74qcviASlpWUM5g35HAV1S",108666,"The Seventh Circle",43,0.00145,0.367,0.993,2.06e-06,1,0.695,-4.341,1,0.213,180.141,4,0.124,3
"75R95k0ICuZBFVEjBauOtt",248880,"Doomsday",60,2.62e-05,0.523,0.979,2.56e-05,2,0.153,-4.214,1,0.159,125.038,4,0.179,3
"7HxPeiu2gKZbGXWJA0bzHn",274933,"A Wasted Hymn",44,6.01e-05,0.486,0.924,0.000389,6,0.297,-4.436,0,0.0446,121.036,4,0.0896,3
"7xpfgUe2sxoBx7CFygbTPg",225040,"Death Is Not Defeat",48,0.000299,0.495,0.929,0.00131,8,0.114,-4.792,0,0.0526,95.013,4,0.222,3
"7z3Q4j4HJDSOZtbR5rbYdG",253973,"Holy Hell",49,8.92e-05,0.537,0.972,0.00449,7,0.256,-4.115,1,0.0512,105.019,4,0.236,3
"19QVXLLwMiIHAGjZHIWmDP",226367,"Human Being",32,0.679,0.729,0.566,0.524,1,0.0891,-10.114,1,0.0365,110.424,4,0.244,4
"2E5e4J3nm1LMHkqTS21Dlq",264026,"Ever Again",45,0.0229,0.942,0.539,0.000276,4,0.0887,-10.442,0,0.0866,125.035,4,0.727,4
"3mV4SpsS5ORnkSgjWo9sTV",245997,"Between The Lines",34,0.102,0.892,0.451,0.000222,0,0.0816,-9.393,1,0.141,111.988,4,0.468,4
"3olYZQTYOLYNImERBnZZqm",294002,"Honey",43,0.0179,0.652,0.604,0.000589,11,0.119,-8.666,0,0.101,115.953,4,0.068,4
"4eubZoLt0CrH3xxhw4oa5B",239712,"Send To Robin Immediately",32,0.548,0.328,0.48,0.398,4,0.101,-12.185,0,0.0652,107.94,4,0.152,4
"5mE2RcGPPbE4gNoLB6FYPf",297268,"Missing U",43,0.0472,0.702,0.666,0.000119,5,0.139,-8.307,0,0.0463,119.93,4,0.109,4
