"id","Metacritic_Score","Rank","Album_Name","Singer","Release_Date","Description","name","popularity","acousticness","danceability","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
1929,94,1,"Motomami","Rosalía","2022-03-18","The third full-length release for Spanish singer-songwriter Rosalía features guest appearances from Tokischa and The Weeknd.","DELIRIO DE GRANDEZA",61,0.874,0.647,0.239,4.96e-05,1,0.372,-10.51,1,0.0331,101.609,4,0.298
1929,94,1,"Motomami","Rosalía","2022-03-18","The third full-length release for Spanish singer-songwriter Rosalía features guest appearances from Tokischa and The Weeknd.","LA FAMA",80,0.947,0.766,0.295,4.44e-05,0,0.119,-7.893,0,0.0464,136.016,4,0.805
1929,94,1,"Motomami","Rosalía","2022-03-18","The third full-length release for Spanish singer-songwriter Rosalía features guest appearances from Tokischa and The Weeknd.","CHICKEN TERIYAKI",70,0.454,0.788,0.4,0.000141,2,0.0686,-6.454,1,0.115,97.936,4,0.558
1929,94,1,"Motomami","Rosalía","2022-03-18","The third full-length release for Spanish singer-songwriter Rosalía features guest appearances from Tokischa and The Weeknd.","COMO UN G",64,0.962,0.496,0.13,8.15e-06,7,0.211,-14.396,0,0.0415,133.07,4,0.22
1929,94,1,"Motomami","Rosalía","2022-03-18","The third full-length release for Spanish singer-songwriter Rosalía features guest appearances from Tokischa and The Weeknd.","Abcdefg",56,0.95,0.717,0.164,0,7,0.315,-17.948,1,0.944,91.577,3,0.352
1929,94,1,"Motomami","Rosalía","2022-03-18","The third full-length release for Spanish singer-songwriter Rosalía features guest appearances from Tokischa and The Weeknd.","SAOKO",74,0.79,0.827,0.768,2.45e-05,0,0.497,-5.702,1,0.265,99.988,4,0.734
1929,94,1,"Motomami","Rosalía","2022-03-18","The third full-length release for Spanish singer-songwriter Rosalía features guest appearances from Tokischa and The Weeknd.","BULERÍAS",60,0.932,0.774,0.458,0.000122,0,0.191,-6.301,1,0.303,127.33,3,0.757
1929,94,1,"Motomami","Rosalía","2022-03-18","The third full-length release for Spanish singer-songwriter Rosalía features guest appearances from Tokischa and The Weeknd.","LA COMBI VERSACE",72,0.561,0.835,0.495,0.000206,8,0.103,-5.791,1,0.522,90.97,4,0.426
1929,94,1,"Motomami","Rosalía","2022-03-18","The third full-length release for Spanish singer-songwriter Rosalía features guest appearances from Tokischa and The Weeknd.","SAKURA",57,0.936,0.317,0.305,0.00289,5,0.847,-10.215,0,0.0644,86.91,4,0.137
1929,94,1,"Motomami","Rosalía","2022-03-18","The third full-length release for Spanish singer-songwriter Rosalía features guest appearances from Tokischa and The Weeknd.","HENTAI",66,0.879,0.583,0.297,0,7,0.127,-11.273,0,0.406,124.279,3,0.291
