"id","Metacritic_Score","Rank","Album_Name","Singer","Release_Date","Desciption","Release_Year","RYM_Rating","Genres","Language","Tracks","Colorscheme","RYM_Rank","Num_of_RYM_Ratings","avg_pop","max_pop","min_pop","med_pop","n"
1,93,1,"Room 25","Noname","2018-09-14","The debut full-length release for the Los Angeles-based Chicago rapper was self-released.",2018,3.59,"Jazz Rap, Conscious Hip Hop
Neo-Soul, Jazz Poetry","English","['Self', 'Blaxploitation', 'Prayer Song', 'Window', ""Don't Forget About Me"", 'Regal', 'Montego Bae', 'Ace', 'Part of Me', 'With You', 'no name']","['#cccccc', '#afaeaa', '#c9c9c8', '#9c9c9a', '#b7b7b7', '#d16524', '#7f7f81', '#bdbdbd', '#4b949b', '#79714c']","#58 for 2018, #8,307 overall",7439,37.5454545454545,51,32,36,11
2,92,2,"Time Will Die and Love Will Bury It","Rolo Tomassi","2018-03-02","The fifth full-length studio release for the British rock band was recorded and mixed by Lewis Johns.",2018,3.53,"Post-Hardcore, Mathcore
Post-Rock, Blackgaze, Post-Metal","English","['Towards Dawn', 'Aftermath', 'Rituals', 'The Hollow Hour', 'Balancing the Dark', 'Alma Mater', 'A Flood of Light', 'Whispers Among Us', 'Contretemps', 'Risen']","['#b5b4b4', '#9b9ba3', '#6a6979', '#9d9d9f', '#7c7b89', '#a4a3a4']","#167 for 2018",2307,25.4,37,18,25,10
3,90,3,"Holy Hell","Architects","2018-11-09","The eighth full-length release for the British metalcore band is its first without Tom Searle, who passed away in August 2016.",2018,3.47,"Metalcore
Djent, Post-Hardcore","English","['Death Is Not Defeat', 'Hereafter', 'Mortal After All', 'Holy Hell', 'Damnation', 'Royal Beggars', 'Modern Misery', 'Dying to Heal', 'The Seventh Circle', 'Doomsday', 'A Wasted Hymn']","['#7a7a7a', '#cccccc']","#240 for 2018",1408,48,60,42,46,11
4,89,4,"Honey","Robyn","2018-10-26","The first full-length release in eight years for the Swedish  artist features contributions from with Joseph Mount of Metronomy, Klas Åhlund, Adam Bainbridge, Mr. Tophat, and Zhal.",2018,3.44,"Dance-Pop, Electropop, House
Deep House, Ambient House, Nu-Disco, Synthpop, Progressive House","English","['Missing U', 'Human Being', ""Because It's in the Music"", 'Baby Forgive Me', 'Send to Robin Immediately', 'Honey', 'Between the Lines', 'Beach 2K20', 'Ever Again']","['#da978f', '#9a4739', '#bb3623', '#bba597', '#7a5d3d', '#dfbda4']","#283 for 2018",3759,36.3333333333333,45,29,34,9
5,89,5,"Safe In The Hands Of Love","Yves Tumor","2018-09-05","The surprise release from the experimental artist from Tennessee features a guest appearance from James K.",2018,3.61,"Neo-Psychedelia, Post-Industrial, Art Pop
Hypnagogic Pop, Art Pop, Experimental Rock, Trip Hop, Deconstructed Club","English","['Faith in Nothing Except in Salvation', 'Economy of Freedom', 'Honesty', 'Noid', 'Licking an Orchid', 'Lifetime', 'Hope in Suffering (Escaping Oblivion & Overcoming Powerlessness)', 'Recognizing the Enemy', 'All the Love We Have Now', 'Let the Lioness in You Flow Freely']","['#8d989c', '#214d58', '#6ea3d5', '#29767c', '#407c96']","#45 for 2018, #6,920 overall",9801,34.4,50,25,33.5,10
6,89,6,"Golden Hour","Kacey Musgraves","2018-03-30","The seventh full-length release for the country singer-songwriter was co-produced with Daniel Tashian and Ian Fitchuk.",2018,3.51,"Country Pop, Singer-Songwriter
Contemporary Country, Soft Rock, Dream Pop","English","['Slow Burn', 'Lonely Weekend', 'Butterflies', 'Oh, What a World', 'Mother', 'Love Is a Wild Thing', 'Space Cowboy', 'Happy & Sad', 'Velvet Elvis', 'Wonder Woman', 'High Horse', 'Golden Hour', 'Rainbow']","['#169bc6', '#5daac8', '#fd8670', '#f3b292']","#154 for 2018",6613,59.0769230769231,69,48,58,13
7,89,7,"Chris","Christine and the Queens","2018-09-21","The second full-length release for the French pop artist features a guest appearance from Dâm-Funk.",2018,3.36,"Synthpop
Electropop, Alternative R&B, Synth Funk, French Pop, Dance-Pop","French, English","['French Version', ""Comme si on s'aimait"", 'Damn, dis-moi', 'La marcheuse', ""Doesn't Matter (Voleur de soleil)"", '5 dols', 'Goya ! Soda !', 'Follarse', 'Machin-chose', 'Bruce est dans le brouillard', 'Le G', 'Les yeux mouillés', ""L'étranger (voleur d'eau)"", 'English Version', 'Comme si', 'Girlfriend', 'The Walker', ""Doesn't Matter"", '5 Dollars', 'Goya Soda', 'Damn (What Must a Woman Do)', ""What's-Her-Face"", 'Feel So Good', 'Make Some Sense', 'The Stranger']","['#a19690', '#868d7d', '#c1bd74', '#b8c0b1', '#bd9d8e']","#505 for 2018",1403,22.5,50,12,21.5,12
8,88,8,"Persona","Rival Consoles","2018-04-13","The latest release for the British electronic artist was inspired by Ingmar Bergman's film of the same name.",2018,3.42,"Microhouse, IDM
Ambient Techno, Tech House, Progressive Electronic","","['Unfolding', 'Persona', 'Memory Arc', 'Phantom Grip', 'Be Kind', 'I Think So', ""Sun's Abandon"", ""Dreamer's Wake"", 'Untravel', 'Rest', 'Hidden', 'Fragment']","['#a31403', '#909694', '#a8a8a8', '#be361e']","#398 for 2018",1421,32.5,50,23,30,12
9,88,9,"POST-","Jeff Rosenstock","2018-03-23","The third full-length solo release for the Long Island singer-songwriter features contributions from Chris Farren, Dan Potthast, PUP, Laura Stevenson, and Antarctigo Vespucci.",2018,3.36,"Power Pop, Indie Rock
Pop Punk","English","[""Mornin'!"", 'USA', 'Yr Throat', 'All This Useless Energy', 'Powerlessness', 'TV Stars', 'Melba', 'Beating My Head Against a Wall', '9/10', 'Let Them Win']","['#869fa3', '#95afb9', '#8d9997', '#4e5d62', '#a9b6bc', '#5c6e72']","#485 for 2018",5158,20.7,42,0,20,10
10,88,10,"Joy As an Act of Resistance","Idles","2018-08-31","The second full-length release for the British punk band was produced by Space and mixed by Adam Greenspan and Nick Launay.",2018,3.71,"Post-Punk, Post-Hardcore
Punk Rock, Art Punk, Noise Rock","English","['Colossus', 'Never Fight a Man With a Perm', ""I'm Scum"", 'Danny Nedelko', 'Love Song', 'June', 'Samaritans', 'Television', 'Great', 'Gram Rock', 'Cry to Me', 'Rottweiler']","['#bb9b84', '#524e4d', '#8d754f', '#a58554', '#bfc2c4', '#cfc3b3', '#aca9a7']","#20 for 2018, #2,156 overall",14242,40.25,53,33,39,12
