"Metacritic_Score","Rank","Album_Name","Singer","Release_Date","Desciption","User_Score","Release_Year","id"
93,1,"Room 25","Noname",2018-09-14,"The debut full-length release for the Los Angeles-based Chicago rapper was self-released.",8.4,2018,"noname2018room25"
92,2,"Time Will Die and Love Will Bury It","Rolo Tomassi",2018-03-02,"The fifth full-length studio release for the British rock band was recorded and mixed by Lewis Johns.",7.3,2018,"rolotomassi2018timyit"
90,3,"Holy Hell","Architects",2018-11-09,"The eighth full-length release for the British metalcore band is its first without Tom Searle, who passed away in August 2016.",8.7,2018,"architects2018holell"
89,4,"Honey","Robyn",2018-10-26,"The first full-length release in eight years for the Swedish  artist features contributions from with Joseph Mount of Metronomy, Klas Åhlund, Adam Bainbridge, Mr. Tophat, and Zhal.",8.5,2018,"robyn2018honney"
89,5,"Safe In The Hands Of Love","Yves Tumor",2018-09-05,"The surprise release from the experimental artist from Tennessee features a guest appearance from James K.",8,2018,"yvestumor2018safove"
89,6,"Golden Hour","Kacey Musgraves",2018-03-30,"The seventh full-length release for the country singer-songwriter was co-produced with Daniel Tashian and Ian Fitchuk.",8.7,2018,"kaceymusgraves2018golour"
89,7,"Chris","Christine and the Queens",2018-09-21,"The second full-length release for the French pop artist features a guest appearance from Dâm-Funk.",7.9,2018,"christineandthequeens2018chrris"
88,8,"Persona","Rival Consoles",2018-04-13,"The latest release for the British electronic artist was inspired by Ingmar Bergman's film of the same name.",7.8,2018,"rivalconsoles2018perona"
88,9,"POST-","Jeff Rosenstock",2018-03-23,"The third full-length solo release for the Long Island singer-songwriter features contributions from Chris Farren, Dan Potthast, PUP, Laura Stevenson, and Antarctigo Vespucci.",7.8,2018,"jeffrosenstock2018posost"
88,10,"Joy As an Act of Resistance","Idles",2018-08-31,"The second full-length release for the British punk band was produced by Space and mixed by Adam Greenspan and Nick Launay.",8.3,2018,"idles2018joynce"
88,11,"I Loved You at Your Darkest","Behemoth",2018-10-05,"The 11th full-length release for the Polish death metal band was self-produced and features a 17-piece Polish orchestra arranged by Jan Stoklosa.",7.9,2018,"behemoth2018iloest"
88,12,"Negative Capability","Marianne Faithfull",2018-11-02,"The 21st full-length studio release for the British singer-songwriter features contributions from such artists as Warren Ellis, Nick Cave, Rob Ellis, Ed Harcourt and Mark Lanegan.",8,2018,"mariannefaithfull2018negity"
87,13,"Dirty Computer","Janelle Monáe",2018-04-27,"The third LP (and first in five years) from the actress and recording artist features appearances by Brian Wilson, Pharrell Williams, Zoë Kravitz, and Grimes, plus musical contributions from Prince just prior to his death.",8.6,2018,"janellemonáe2018dirter"
87,14,"Twin Fantasy","Car Seat Headrest",2018-02-16,"Will Toledo re-recorded songs from his Bandcamp-released 2011 album of the same name with a full-band for this release.",8.7,2018,"carseatheadrest2018twiasy"
87,15,"Microshift","Hookworms",2018-02-02,"The third full-length release for the British rock band features electronic elements such as samples, loops, and synths.",7.8,2018,"hookworms2018micift"
87,16,"Cusp","Alela Diane",2018-02-09,"The sixth full-length release from the singer-songwriter features contributions from Peter Broderick, Heather Woods Broderick, Rob Burger, Ryan Francesconi, Daniel Hunt, and Luke Ydstie.",8,2018,"aleladiane2018cususp"
87,17,"Cocoon Crush","Objekt",2018-11-09,"This is the second full-length release for Berlin-based electronic producer TJ Hertz.",7.2,2018,"objekt2018cocush"
87,18,"You Won't Get What You Want","Daughters",2018-10-26,"The fourth full-length studio release for the Rhode Island noise-rock band is its first since the quartet reunited in 2013.",8.6,2018,"daughters2018youant"
