,Id,Name,Artist,Released,RYM Rating,Genres,Descriptors,Language,Track listing,Colorscheme,Ranked,Num_of_RYM_Ratings
0,noname2018room25,Room 25,Noname,14 September 2018,3.59,"Jazz Rap, Conscious Hip Hop
Neo-Soul, Jazz Poetry","female vocals,  introspective,  conscious,  poetic,  lush,  sexual,  bittersweet,  melodic,  uplifting,  mellow,  urban,  sentimental,  spiritual,  rhythmic,  political,  existential,  humorous,  soothing",English,"['Self', 'Blaxploitation', 'Prayer Song', 'Window', ""Don't Forget About Me"", 'Regal', 'Montego Bae', 'Ace', 'Part of Me', 'With You', 'no name']","['#cccccc', '#afaeaa', '#c9c9c8', '#9c9c9a', '#b7b7b7', '#d16524', '#7f7f81', '#bdbdbd', '#4b949b', '#79714c']","#58 for 2018, #8,307 overall",7439
0,rolotomassi2018timyit,Time Will Die and Love Will Bury It,Rolo Tomassi,2 March 2018,3.53,"Post-Hardcore, Mathcore
Post-Rock, Blackgaze, Post-Metal","female vocals,  anxious,  ethereal,  progressive,  eclectic,  heavy,  uncommon time signatures,  melancholic,  energetic,  dark,  existential,  passionate,  technical,  melodic,  aggressive",English,"['Towards Dawn', 'Aftermath', 'Rituals', 'The Hollow Hour', 'Balancing the Dark', 'Alma Mater', 'A Flood of Light', 'Whispers Among Us', 'Contretemps', 'Risen']","['#b5b4b4', '#9b9ba3', '#6a6979', '#9d9d9f', '#7c7b89', '#a4a3a4']",#167 for 2018,2307
0,architects2018holell,Holy Hell,Architects,9 November 2018,3.47,"Metalcore
Djent, Post-Hardcore","male vocals,  death,  heavy,  passionate,  energetic,  introspective,  dark,  atmospheric,  longing,  bittersweet,  melancholic,  aggressive,  nocturnal",English,"['Death Is Not Defeat', 'Hereafter', 'Mortal After All', 'Holy Hell', 'Damnation', 'Royal Beggars', 'Modern Misery', 'Dying to Heal', 'The Seventh Circle', 'Doomsday', 'A Wasted Hymn']","['#7a7a7a', '#cccccc']",#240 for 2018,1408
0,robyn2018honney,Honey,Robyn,26 October 2018,3.44,"Dance-Pop, Electropop, House
Deep House, Ambient House, Nu-Disco, Synthpop, Progressive House","female vocals,  atmospheric,  sensual,  rhythmic,  warm,  love,  melodic,  sexual,  romantic,  ethereal,  futuristic,  longing,  bittersweet,  breakup,  passionate,  melancholic,  lush,  introspective,  playful",English,"['Missing U', 'Human Being', ""Because It's in the Music"", 'Baby Forgive Me', 'Send to Robin Immediately', 'Honey', 'Between the Lines', 'Beach 2K20', 'Ever Again']","['#da978f', '#9a4739', '#bb3623', '#bba597', '#7a5d3d', '#dfbda4']",#283 for 2018,3759
0,yvestumor2018safove,Safe in the Hands of Love,Yves Tumor,5 September 2018,3.61,"Neo-Psychedelia, Post-Industrial, Art Pop
Hypnagogic Pop, Art Pop, Experimental Rock, Trip Hop, Deconstructed Club","psychedelic,  eclectic,  surreal,  atmospheric,  dense,  dark,  sampling,  abstract,  noisy,  longing,  nocturnal,  introspective,  lonely,  avant-garde,  male vocals,  melodic,  alienation,  mysterious,  melancholic,  love,  anxious,  lush,  androgynous vocals,  chaotic,  ethereal,  LGBT,  depressive,  hypnotic,  rhythmic,  lethargic,  repetitive,  futuristic,  urban",English,"['Faith in Nothing Except in Salvation', 'Economy of Freedom', 'Honesty', 'Noid', 'Licking an Orchid', 'Lifetime', 'Hope in Suffering (Escaping Oblivion & Overcoming Powerlessness)', 'Recognizing the Enemy', 'All the Love We Have Now', 'Let the Lioness in You Flow Freely']","['#8d989c', '#214d58', '#6ea3d5', '#29767c', '#407c96']","#45 for 2018, #6,920 overall",9801
0,kaceymusgraves2018golour,Golden Hour,Kacey Musgraves,30 March 2018,3.51,"Country Pop, Singer-Songwriter
Contemporary Country, Soft Rock, Dream Pop","warm,  mellow,  bittersweet,  love,  female vocals,  uplifting,  sentimental,  melancholic,  lush,  romantic,  melodic,  introspective,  peaceful,  poetic,  optimistic,  pastoral,  spring,  longing,  passionate,  soft,  soothing,  calm,  ethereal,  lonely,  anthemic,  atmospheric",English,"['Slow Burn', 'Lonely Weekend', 'Butterflies', 'Oh, What a World', 'Mother', 'Love Is a Wild Thing', 'Space Cowboy', 'Happy & Sad', 'Velvet Elvis', 'Wonder Woman', 'High Horse', 'Golden Hour', 'Rainbow']","['#169bc6', '#5daac8', '#fd8670', '#f3b292']",#154 for 2018,6611
0,christineandthequeens2018chrris,Chris,Christine and the Queens,21 September 2018,3.36,"Synthpop
Electropop, Alternative R&B, Synth Funk, French Pop, Dance-Pop","LGBT,  playful,  love,  sexual,  boastful,  passionate,  energetic,  warm,  party,  summer,  lush,  male vocals,  sensual","French, English","['French Version', ""Comme si on s'aimait"", 'Damn, dis-moi', 'La marcheuse', ""Doesn't Matter (Voleur de soleil)"", '5 dols', 'Goya ! Soda !', 'Follarse', 'Machin-chose', 'Bruce est dans le brouillard', 'Le G', 'Les yeux mouillés', ""L'étranger (voleur d'eau)"", 'English Version', 'Comme si', 'Girlfriend', 'The Walker', ""Doesn't Matter"", '5 Dollars', 'Goya Soda', 'Damn (What Must a Woman Do)', ""What's-Her-Face"", 'Feel So Good', 'Make Some Sense', 'The Stranger']","['#a19690', '#868d7d', '#c1bd74', '#b8c0b1', '#bd9d8e']",#505 for 2018,1403
0,rivalconsoles2018perona,Persona,Rival Consoles,13 April 2018,3.42,"Microhouse, IDM
Ambient Techno, Tech House, Progressive Electronic","atmospheric,  instrumental,  rhythmic,  cold,  mysterious,  sampling,  soothing",,"['Unfolding', 'Persona', 'Memory Arc', 'Phantom Grip', 'Be Kind', 'I Think So', ""Sun's Abandon"", ""Dreamer's Wake"", 'Untravel', 'Rest', 'Hidden', 'Fragment']","['#a31403', '#909694', '#a8a8a8', '#be361e']",#398 for 2018,1421
0,jeffrosenstock2018posost,POST-,Jeff Rosenstock,1 January 2018,3.36,"Power Pop, Indie Rock
Pop Punk","passionate,  anthemic,  melodic,  introspective,  political,  anxious,  male vocals,  conscious,  energetic,  rebellious,  sarcastic,  triumphant,  progressive,  angry,  alienation,  cold,  pessimistic,  protest,  existential,  melancholic,  ethereal,  sentimental,  depressive",English,"[""Mornin'!"", 'USA', 'Yr Throat', 'All This Useless Energy', 'Powerlessness', 'TV Stars', 'Melba', 'Beating My Head Against a Wall', '9/10', 'Let Them Win']","['#869fa3', '#95afb9', '#8d9997', '#4e5d62', '#a9b6bc', '#5c6e72']",#485 for 2018,5156
0,idles2018joynce,Joy as an Act of Resistance.,Idles,31 August 2018,3.71,"Post-Punk, Post-Hardcore
Punk Rock, Art Punk, Noise Rock","political,  aggressive,  energetic,  male vocals,  rebellious,  sarcastic,  LGBT,  conscious,  passionate,  raw,  anthemic,  angry,  humorous,  noisy,  rhythmic,  triumphant,  urban,  satirical,  playful,  uplifting",English,"['Colossus', 'Never Fight a Man With a Perm', ""I'm Scum"", 'Danny Nedelko', 'Love Song', 'June', 'Samaritans', 'Television', 'Great', 'Gram Rock', 'Cry to Me', 'Rottweiler']","['#bb9b84', '#524e4d', '#8d754f', '#a58554', '#bfc2c4', '#cfc3b3', '#aca9a7']","#20 for 2018, #2,156 overall",14242
