"","avg_pop","max_pop","min_pop","med_pop","n","id"
"1",42.7857142857143,64,0,41.5,14,1255
"2",38.5263157894737,51,28,37,19,1247
"3",67.8666666666667,83,56,66,15,1249
"4",40.4285714285714,53,31,38.5,14,692
"5",41.0833333333333,59,34,38.5,12,2272
"6",58.8461538461538,77,44,58,13,569
"7",6.81818181818182,30,2,4,11,414
"8",18.4,30,11,15,10,889
"9",58.8666666666667,82,49,57,15,511
"10",21.9090909090909,40,10,20,11,1784
"11",19.25,30,14,17.5,8,1189
"12",55.6,69,48,56,10,1877
"13",52.4166666666667,63,46,50.5,12,1316
"14",3,13,1,1,10,1513
"15",28.1764705882353,59,16,25,17,1330
"16",11.4,29,6,8.5,10,691
"17",24.4545454545455,45,15,21,11,1854
"18",71.5833333333333,83,66,69.5,12,1563
"19",33.4,46,28,33,10,102
"20",47.3636363636364,61,42,46,11,1152
"21",1.1,3,0,1,10,1319
"22",34,37,30,35,11,1905
"23",20.1111111111111,45,9,14.5,18,911
"24",19.2,32,13,18,20,1335
"25",39.3,49,33,38,10,1442
"26",0.0769230769230769,1,0,0,13,529
"27",2,3,1,2,10,374
"28",0.8,4,0,0,10,216
"29",22,29,17,22,15,1796
"30",4.54545454545455,10,1,4,11,221
"31",52,70,44,50,16,2260
"32",43.3333333333333,69,32,41,15,714
"33",5.36363636363636,12,0,4,11,1418
"34",32.2727272727273,44,24,31,11,1489
"35",8,15,4,7.5,8,1814
"36",39.4,54,27,38,10,407
"37",38.7777777777778,58,29,40,9,584
"38",39.3,47,33,39,10,2034
"39",5.58823529411765,18,3,4,17,173
"40",27.2727272727273,46,18,24,11,16
"41",43.6,73,36,40,15,429
"42",0.833333333333333,4,0,0.5,12,81
"43",0.2,1,0,0,5,952
"44",29.8,42,23,28,10,951
"45",35.2222222222222,41,30,34,9,2223
"46",3.3,7,1,2,10,457
"47",17.3,37,10,15,10,904
"48",12.9090909090909,22,8,12,11,1451
"49",24.4,41,14,25,10,1392
"50",13.8,24,10,12,15,1878
"51",29.9230769230769,44,22,31,13,2174
"52",38.6,45,34,39,10,416
"53",44.4444444444444,66,33,40.5,18,1357
"54",33.45,45,28,32.5,20,1911
"55",33.6153846153846,54,21,28,13,1015
"56",43.25,61,33,42,12,1337
"57",18.0833333333333,29,11,17,12,1734
"58",44.25,56,36,44.5,12,2113
"59",10,10,10,10,1,41
"60",48.0714285714286,54,43,47.5,14,1958
"61",15.55,27,0,16,20,836
"62",17.1,22,11,18,10,34
"63",27.6363636363636,33,22,28,11,2016
"64",10,20,5,8,11,371
"65",43.2352941176471,55,34,42,17,2180
"66",30.9090909090909,42,25,27,11,23
"67",27.875,41,22,27,8,745
"68",48.7142857142857,59,34,49.5,14,1412
"69",18.1666666666667,34,11,16.5,12,187
"70",18.1,32,0,16.5,10,1508
"71",32.7272727272727,41,26,31,11,730
"72",35.4615384615385,46,29,34,13,1593
"73",31.1,58,24,28,10,1996
"74",31.1428571428571,42,23,29,7,1162
"75",33.5454545454545,58,20,34,11,376
"76",46.0714285714286,59,37,45,14,403
"77",53.1818181818182,63,46,52,11,687
"78",42,60,33,38.5,10,750
"79",39.5454545454545,53,33,38,11,2184
"80",19.625,31,13,18,16,287
"81",21.8333333333333,35,15,20,12,1819
"82",7.75,19,4,7,12,1272
"83",14.25,20,10,13.5,20,2176
"84",33.9090909090909,45,29,33,11,1248
"85",23.1111111111111,30,18,22,9,1862
"86",0.142857142857143,2,0,0,14,988
"87",18.875,30,11,16,8,30
"88",33.6666666666667,54,23,29,12,833
"89",38,54,30,35,11,579
"90",22.6363636363636,33,17,21,11,1168
"91",46.1,55,42,44,10,1942
"92",37.9,42,36,37.5,10,1718
"93",14.3333333333333,27,9,11,9,1740
"94",9.07692307692308,15,7,8,13,548
"95",34.2222222222222,41,29,35,9,2167
"96",20.7777777777778,37,14,16,9,1259
"97",18.6,29,13,17,10,1696
"98",12.4444444444444,21,7,10,9,350
"99",5.16666666666667,23,1,2.5,12,1439
"100",25.8,34,18,26,10,77
"101",9.45454545454546,21,4,7,11,866
"102",33.8,42,28,33,5,145
"103",50.9444444444444,82,41,48.5,18,544
"104",21.6153846153846,44,13,19,13,1521
"105",7.88888888888889,22,3,6,9,1234
"106",43.8333333333333,51,37,43.5,12,497
"107",16.75,31,11,14.5,12,501
"108",19.9230769230769,27,17,18,13,2073
"109",16.8,27,11,13.5,10,961
"110",13.6363636363636,27,8,11,11,1610
"111",6.5,10,4,6,8,1230
"112",44.6666666666667,62,34,41,12,1436
"113",40.0833333333333,50,35,39,12,1767
