"avg_pop","max_pop","min_pop","med_pop","n","id"
37.5454545454545,51,32,36,11,"noname2018room25"
25.4,37,18,25,10,"rolotomassi2018timyit"
48,60,42,46,11,"architects2018holell"
36.3333333333333,45,29,34,9,"robyn2018honney"
34.4,50,25,33.5,10,"yvestumor2018safove"
59.0769230769231,69,48,58,13,"kaceymusgraves2018golour"
22.5,50,12,21.5,12,"christineandthequeens2018chrris"
32.5,50,23,30,12,"rivalconsoles2018perona"
20.7,42,0,20,10,"jeffrosenstock2018posost"
40.25,53,33,39,12,"idles2018joynce"
25.5833333333333,41,19,24,12,"behemoth2018iloest"
21.1538461538462,39,13,20,13,"mariannefaithfull2018negity"
41.8571428571429,64,1,42.5,14,"janellemonáe2018dirter"
53,63,46,53.5,10,"carseatheadrest2018twiasy"
15,28,8,12,9,"hookworms2018micift"
27.2727272727273,46,18,24,11,"aleladiane2018cususp"
12.0909090909091,20,8,11,11,"objekt2018cocush"
31.6,38,28,31,10,"daughters2018youant"
64.6428571428571,84,51,61.5,14,"mitski2018betboy"
22.9090909090909,32,15,19,11,"serpentwithfeet2018soioil"
28.3636363636364,50,0,32,11,"usgirls2018inated"
35.75,46,29,36,12,"youngfathers2018cocgar"
30.9090909090909,42,25,27,11,"amendunes2018fredom"
59.5333333333333,79,49,54,15,"kaliuchis2018isoion"
25.9,36,21,24,20,"brucespringsteen2018sprway"
40.5555555555556,53,30,43,9,"sophie2018oildes"
17.75,43,11,14,12,"ashleymonroe2018sparow"
11.5,20,6,10,10,"tracyannedanny2018tranny"
18.3,35,13,16.5,10,"hotsnakes2018jerens"
18.875,30,11,16,8,"angéliquekidjo2018remght"
19.5625,38,14,18,16,"kamasiwashington2018hearth"
26.75,49,15,20.5,12,"mélissalaveaux2018radwèl"
31.4545454545455,36,28,31,11,"low2018douive"
17.1,22,11,18,10,"amandashires2018totset"
8,11,6,8,12,"mounteerie2018aftive"
53.5714285714286,61,48,53,7,"pushat2018dayona"
31.9444444444444,48,25,30,18,"jonnygreenwood2018phaack"
49.9333333333333,66,42,49,15,"earlsweatshirt2018somngs"
23.4,40,16,22,15,"screamingfemales2018allnce"
30.25,53,22,28,16,"djkoze2018knoock"
10,10,10,10,1,"alvanoto2018glaass"
46.0666666666667,54,38,46,15,"brockhampton2018irince"
34.7142857142857,41,28,36,7,"deafheaven2018ordove"
19,35,10,15,10,"mariedavidson2018worman"
26.6153846153846,48,19,23,13,"ezrafurman2018tradus"
17.1666666666667,38,12,14.5,12,"bettyelavette2018thiged"
32.3636363636364,43,23,33,11,"letseatgrandma2018imaars"
21.5833333333333,29,14,21.5,12,"nekocase2018hellon"
28.9285714285714,44,20,27.5,14,"pistolannies2018intpel"
16.5714285714286,37,10,13,7,"sarahdavachi2018gavest"
19.5,37,12,17,20,"laurieanderson2018lanall"
5.5,11,3,4,10,"virginiawing2018ecsrow"
71.7647058823529,82,64,72,17,"travisscott2018astrld"
56.2,66,48,58,10,"troyesivan2018blooom"
14.5555555555556,22,9,12,9,"spiritualized2018andurt"
22.5454545454545,32,15,22,11,"jefftweedy2018wararm"
11.5833333333333,30,6,9,12,"noage2018snacut"
21.7272727272727,49,12,18,11,"richardswift2018thehex"
63.1428571428571,70,58,62,7,"kidsseeghosts2018kidsts"
5,11,2,4,10,"lonnieholley2018mitith"
22.1818181818182,35,16,19,11,"willienelson2018lasing"
4,4,4,4,1,"thenecks2018bodody"
26.4,47,19,23,15,"cupcakke2018ephize"
26.4,46,20,24,10,"rollingblackoutscoastalfever2018hopwns"
1.375,3,0,1,16,"procfiskal2018insula"
63.6153846153846,78,54,65,13,"cardib2018invacy"
38.1666666666667,48,28,38,12,"jonhopkins2018sinity"
33.3333333333333,41,30,32,6,"sleep2018theces"
17.3636363636364,29,11,16,11,"stephenmalkmusthejicks2018spaard"
23.7272727272727,35,17,23,11,"thebreeders2018allrve"
19.5,29,12,16.5,8,"jonhassell2018lismei"
30.5,42,19,31,10,"miyafolick2018preons"
45.8125,65,37,43,16,"bloodorange2018negwan"
10.4,27,6,8,10,"eleanorfriedberger2018rebund"
